PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI0029EE,,"InChI=1S/C6H14N2O/c1-3-5-8(7-9)6-4-2/h3-6H2,1-2H3",YLKFDHTUAUWZPQ-UHFFFAOYSA-N,CCCN(CCC)N=O,1,1,0,1,1,1,0,130.11,1.79,9.0,2.0,0.0,5.0,0.0,0.0,0.0,32.67,0.42
PSDI0029F0,,InChI=1S/C5H10N2O/c8-6-7-4-2-1-3-5-7/h1-5H2,UWSDONTXWQOZFN-UHFFFAOYSA-N,O=NN1CCCCC1,1,1,0,1,1,1,0,114.08,1.15,8.0,2.0,0.0,1.0,1.0,0.0,0.0,32.67,0.48
PSDI0029F1,,InChI=1S/C4H8N2O/c7-5-6-3-1-2-4-6/h1-4H2,WNYADZVDBIBLJJ-UHFFFAOYSA-N,O=NN1CCCC1,1,1,0,1,1,1,0,100.06,0.76,7.0,2.0,0.0,1.0,1.0,0.0,0.0,32.67,0.46
PSDI0029F4,,"InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3",IOQPZZOEVPZRBK-UHFFFAOYSA-N,CCCCCCCCN,1,1,0,1,1,2,0,129.15,2.31,9.0,1.0,1.0,6.0,0.0,0.0,0.0,26.02,0.55
PSDI002A0F,,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3",GYHFUZHODSMOHU-UHFFFAOYSA-N,CCCCCCCCC=O,2,1,0,1,1,1,0,142.14,2.94,10.0,1.0,0.0,7.0,0.0,0.0,0.0,17.07,0.39
PSDI002A49,,"InChI=1S/C8H8O2/c1-10-8-4-2-7(6-9)3-5-8/h2-6H,1H3",ZRSNZINYAWTAHE-UHFFFAOYSA-N,COc1ccc(C=O)cc1,1,1,0,1,1,3,0,136.05,1.51,10.0,2.0,0.0,2.0,1.0,0.0,1.0,26.3,0.58
PSDI002ABB,,"InChI=1S/C6H14N2/c1-7-3-5-8(2)6-4-7/h3-6H2,1-2H3",RXYPXQSKLGGKOL-UHFFFAOYSA-N,CN1CCN(C)CC1,1,1,0,1,1,1,0,114.12,-0.14,8.0,2.0,0.0,0.0,1.0,0.0,0.0,6.48,0.43
PSDI002B6A,,"InChI=1S/C4H11N/c1-3-4(2)5/h4H,3,5H2,1-2H3",BHRZNVHARXXAHW-UHFFFAOYSA-N,CCC(C)N,1,2,0,1,1,2,0,73.09,0.74,5.0,1.0,1.0,1.0,0.0,0.0,0.0,26.02,0.49
PSDI002BA7,,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4H,5-7H2,1-3H3",MOYAFQVGZZPNRA-UHFFFAOYSA-N,CC1=CCC(=C(C)C)CC1,1,1,0,1,1,1,0,136.13,3.45,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45
PSDI002BE0,,"InChI=1S/C12H27OPS3/c1-4-7-10-15-14(13,16-11-8-5-2)17-12-9-6-3/h4-12H2,1-3H3",ZOKXUAHZSKEQSS-UHFFFAOYSA-N,CCCCSP(=O)(SCCCC)SCCCC,1,1,0,1,1,5,0,314.1,6.69,17.0,4.0,0.0,12.0,0.0,0.0,0.0,17.07,0.29
PSDI002BFF,,"InChI=1S/C9H21O4P/c1-4-7-11-14(10,12-8-5-2)13-9-6-3/h4-9H2,1-3H3",RXPQRKFMDQNODS-UHFFFAOYSA-N,CCCOP(=O)(OCCC)OCCC,1,1,0,1,1,1,0,224.12,3.37,14.0,4.0,0.0,9.0,0.0,0.0,0.0,44.76,0.56
PSDI002C78,,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,1,1,0,0,1,1,432,32.03,-0.39,2.0,1.0,1.0,0.0,0.0,0.0,0.0,20.23,0.39
PSDI002C79,,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,1,1,0,0,1,4,257,46.04,-0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,20.23,0.41
PSDI002C7A,,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",UUIQMZJEGPQKFD-UHFFFAOYSA-N,CCCC(=O)OC,2,1,0,0,1,3,10,102.07,0.96,7.0,2.0,0.0,2.0,0.0,0.0,0.0,26.3,0.49
PSDI002C7D,,"InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3",OBNCKNCVKJNDBV-UHFFFAOYSA-N,CCCC(=O)OCC,2,1,0,0,1,4,11,116.08,1.35,8.0,2.0,0.0,3.0,0.0,0.0,0.0,26.3,0.52
PSDI002C7F,,"InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3",SVONRAPFKPVNKG-UHFFFAOYSA-N,CCOCCOC(C)=O,2,1,0,0,1,1,1,132.08,0.59,9.0,3.0,0.0,4.0,0.0,0.0,0.0,35.53,0.41
PSDI002CA1,,"InChI=1S/C2H3Cl2F/c1-2(3,4)5/h1H3",FRCHKSNAZZFGCA-UHFFFAOYSA-N,CC(F)(Cl)Cl,1,1,0,0,1,1,1,115.96,2.11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
PSDI002CA2,,"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3",RDHPKYGYEGBMSE-UHFFFAOYSA-N,CCBr,1,1,0,0,1,2,7,107.96,1.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
PSDI002CA6,,"InChI=1S/C3H4Cl2/c4-2-1-3-5/h1-2H,3H2",UOORRWUZONOOLO-UHFFFAOYSA-N,ClC=CCCl,1,2,0,0,1,4,5,109.97,1.98,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45
PSDI002CD8,,"InChI=1S/C13H18O/c1-5-7-11(14)12-10(2)8-6-9-13(12,3)4/h5-8H,9H2,1-4H3",POIARNZEYGURDG-UHFFFAOYSA-N,C/C=C/C(=O)C1=C(C)C=CCC1(C)C,21,2,0,0,1,1,0,190.14,3.43,14.0,1.0,0.0,2.0,1.0,0.0,0.0,17.07,0.61
PSDI002CEB,,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",NQRYJNQNLNOLGT-UHFFFAOYSA-N,C1CCNCC1,1,1,0,0,1,1,0,85.09,0.76,6.0,1.0,1.0,0.0,1.0,0.0,0.0,12.03,0.46
PSDI002CED,,InChI=1S/C6H12N2/c1-2-8-5-3-7(1)4-6-8/h1-6H2,IMNIMPAHZVJRPE-UHFFFAOYSA-N,C1CN2CCN1CC2,1,1,0,0,1,1,0,112.1,-0.38,8.0,2.0,0.0,0.0,3.0,0.0,0.0,6.48,0.42
PSDI002D2A,,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",UAHWPYUMFXYFJY-UHFFFAOYSA-N,C=CC(=C)CCC=C(C)C,1,1,0,0,1,1,0,136.13,3.48,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.41
PSDI002D59,,"InChI=1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3",YHQXBTXEYZIYOV-UHFFFAOYSA-N,C=CC(C)C,1,1,0,0,1,2,0,70.08,1.83,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41
PSDI002D62,,"InChI=1S/C8H16O/c1-3-5-6-7-8(9)4-2/h4,8-9H,2-3,5-7H2,1H3",VSMOENVRRABVKN-UHFFFAOYSA-N,C=CC(O)CCCCC,1,2,0,0,1,1,0,128.12,2.11,9.0,1.0,1.0,5.0,0.0,0.0,0.0,20.23,0.44
PSDI002DF0,,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C,2,1,0,0,1,4,0,87.07,0.09,6.0,1.0,0.0,0.0,0.0,0.0,0.0,20.31,0.41
PSDI002DF4,,InChI=1S/C3H6N2O2/c1-3(6)5(2)4-7/h1-2H3,FFLFWNRFMZRFKU-UHFFFAOYSA-N,CC(=O)N(C)N=O,2,1,0,0,1,1,0,102.04,0.15,7.0,3.0,0.0,1.0,0.0,0.0,0.0,49.74,0.35
PSDI002EA4,,"InChI=1S/C5H10O2/c1-5(2,3)4(6)7/h1-3H3,(H,6,7)",IUGYQRQAERSCNH-UHFFFAOYSA-N,CC(C)(C)C(=O)O,1,1,0,0,1,2,0,102.07,1.12,7.0,1.0,1.0,0.0,0.0,0.0,0.0,37.3,0.5
PSDI002EE0,,"InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3",QHPQWRBYOIRBIT-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)cc1,2,1,0,0,1,2,0,150.1,2.69,11.0,1.0,1.0,0.0,1.0,0.0,1.0,20.23,0.6
PSDI002FB7,,"InChI=1S/C13H21O3PS/c1-11(2)15-17(14,16-12(3)4)18-10-13-8-6-5-7-9-13/h5-9,11-12H,10H2,1-4H3",FCOAHACKGGIURQ-UHFFFAOYSA-N,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,1,1,0,0,1,1,0,288.09,4.88,18.0,4.0,0.0,7.0,1.0,0.0,1.0,35.53,0.67
PSDI002FF0,,"InChI=1S/C6H12Cl2O/c1-5(3-7)9-6(2)4-8/h5-6H,3-4H2,1-2H3",QCFYJCYNJLBDRT-UHFFFAOYSA-N,CC(CCl)OC(C)CCl,1,3,0,0,1,1,0,170.03,2.26,9.0,1.0,0.0,4.0,0.0,0.0,0.0,9.23,0.59
PSDI00303B,,"InChI=1S/C8H14O2/c1-3-4-5-6-7-10-8(2)9/h4-5H,3,6-7H2,1-2H3",NPFVOOAXDOBMCE-UHFFFAOYSA-N,CC/C=C\CCOC(C)=O,2,2,0,0,1,1,0,142.1,1.91,10.0,2.0,0.0,4.0,0.0,0.0,0.0,26.3,0.34
PSDI003078,,"InChI=1S/C19H28O/c1-18-9-3-4-16(18)15-6-5-13-12-14(20)7-11-19(13,2)17(15)8-10-18/h3,9,13,15-17H,4-8,10-12H2,1-2H3",HFVMLYAGWXSTQI-UHFFFAOYSA-N,CC12C=CCC1C1CCC3CC(=O)CCC3(C)C1CC2,3,64,0,0,1,1,0,272.21,4.76,20.0,1.0,0.0,0.0,4.0,0.0,0.0,17.07,0.58
PSDI0030AA,,"InChI=1S/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",BQOFWKZOCNGFEC-UHFFFAOYSA-N,CC1=CCC2C(C1)C2(C)C,1,4,0,0,1,1,0,136.13,3.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.45
PSDI0030DC,,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",UAEPNZWRGJTJPN-UHFFFAOYSA-N,CC1CCCCC1,1,1,0,0,1,3,0,98.11,2.59,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44
PSDI0030DF,,"InChI=1S/C6H12N2O2/c1-5-3-8(7-9)4-6(2)10-5/h5-6H,3-4H2,1-2H3",DPYMAXOKJUBANR-UHFFFAOYSA-N,CC1CN(N=O)CC(C)O1,1,3,0,0,1,2,0,144.09,0.78,10.0,3.0,0.0,1.0,1.0,0.0,0.0,41.9,0.51
PSDI003129,,"InChI=1S/C6H14O/c1-5-6(2,3)7-4/h5H2,1-4H3",HVZJRWJGKQPSFL-UHFFFAOYSA-N,CCC(C)(C)OC,1,1,0,0,1,1,0,102.1,1.82,7.0,1.0,0.0,2.0,0.0,0.0,0.0,9.23,0.52
PSDI00314A,,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3",BSPCSKHALVHRSR-UHFFFAOYSA-N,CCC(C)Cl,1,2,0,0,1,3,0,92.04,2.02,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43
