PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI00122E,,InChI=1S/C12H8O/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8H,TXCDCPKCNAJMEE-UHFFFAOYSA-N,c1ccc2c(c1)oc1ccccc12,1,1,1,1,0,4,126,168.06,3.59,13.0,1.0,0.0,0.0,3.0,1.0,3.0,13.14,0.5
PSDI00123F,,InChI=1S/C12H8S/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8H,IYYZUPMFVPLQIF-UHFFFAOYSA-N,c1ccc2c(c1)sc1ccccc12,1,1,1,1,0,3,51,184.03,4.05,13.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.49
PSDI001281,,"InChI=1S/C5H10O3/c1-3-7-5(6)8-4-2/h3-4H2,1-2H3",OIFBSDVPJOWBCH-UHFFFAOYSA-N,CCOC(=O)OCC,1,1,1,1,1,1,4,118.06,1.18,8.0,3.0,0.0,2.0,0.0,0.0,0.0,35.53,0.51
PSDI001284,,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,1,1,1,1,1,2,177,74.07,1.04,5.0,1.0,0.0,2.0,0.0,0.0,0.0,9.23,0.48
PSDI001293,,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",HPNMFZURTQLUMO-UHFFFAOYSA-N,CCNCC,1,1,1,1,1,3,7,73.09,0.62,5.0,1.0,1.0,2.0,0.0,0.0,0.0,12.03,0.5
PSDI0012CE,,"InChI=1S/C6H15N/c1-5(2)7-6(3)4/h5-7H,1-4H3",UAOMVDZJSHZZME-UHFFFAOYSA-N,CC(C)NC(C)C,1,1,1,1,0,1,24,101.12,1.39,7.0,1.0,1.0,2.0,0.0,0.0,0.0,12.03,0.55
PSDI00136B,,"InChI=1S/C22H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h2-21H2,1H3,(H,23,24)",UKMSUNONTOPOIO-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCC(=O)O,2,1,1,1,0,1,93,340.33,7.89,24.0,1.0,1.0,20.0,0.0,0.0,0.0,37.3,0.23
PSDI001376,,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)",POULHZVOKOAJMA-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)O,2,1,1,1,0,2,337,200.18,3.99,14.0,1.0,1.0,10.0,0.0,0.0,0.0,37.3,0.54
PSDI0013EF,,"InChI=1S/C2H3Br3/c3-1-2(4)5/h2H,1H2",QUMDOMSJJIFTCA-UHFFFAOYSA-N,BrCC(Br)Br,1,1,1,1,0,1,1,263.78,2.5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64
PSDI0013F1,,InChI=1S/C2H2Br2Cl2/c3-1(5)2(4)6/h1-2H,RJMDFMUPJANPGX-UHFFFAOYSA-N,ClC(Br)C(Cl)Br,1,3,1,1,0,1,1,253.79,2.91,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.63
PSDI001446,,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(C)=O,2,1,1,1,1,2,444,88.05,0.57,6.0,2.0,0.0,1.0,0.0,0.0,0.0,26.3,0.44
PSDI001447,,"InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3",JIGUQPWFLRLWPJ-UHFFFAOYSA-N,C=CC(=O)OCC,1,1,1,1,0,3,3,100.05,0.74,7.0,2.0,0.0,2.0,0.0,0.0,0.0,26.3,0.38
PSDI00144B,,"InChI=1S/C4H7ClO2/c1-2-7-4(6)3-5/h2-3H2,1H3",VEUUMBGHMNQHGO-UHFFFAOYSA-N,CCOC(=O)CCl,2,1,1,1,0,1,10,122.01,0.79,7.0,2.0,0.0,2.0,0.0,0.0,0.0,26.3,0.4
PSDI001453,,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",WBJINCZRORDGAQ-UHFFFAOYSA-N,CCOC=O,1,1,1,1,1,4,4,74.04,0.18,5.0,2.0,0.0,2.0,0.0,0.0,0.0,26.3,0.44
PSDI001457,,"InChI=1S/C6H12O2/c1-4-8-6(7)5(2)3/h5H,4H2,1-3H3",WDAXFOBOLVPGLV-UHFFFAOYSA-N,CCOC(=O)C(C)C,2,1,1,1,0,1,10,116.08,1.21,8.0,2.0,0.0,2.0,0.0,0.0,0.0,26.3,0.51
PSDI001466,,"InChI=1S/C6H10O4/c1-3-9-5(7)6(8)10-4-2/h3-4H2,1-2H3",WYACBZDAHNBPPB-UHFFFAOYSA-N,CCOC(=O)C(=O)OCC,1,1,1,1,0,1,6,146.06,0.11,10.0,4.0,0.0,2.0,0.0,0.0,0.0,52.6,0.41
PSDI001469,,"InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3",FKRCODPIKNYEAC-UHFFFAOYSA-N,CCOC(=O)CC,2,1,1,1,1,3,10,102.07,0.96,7.0,2.0,0.0,2.0,0.0,0.0,0.0,26.3,0.49
PSDI00147C,,InChI=1S/C2H4/c1-2/h1-2H2,VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,1,1,1,1,1,1,57,28.03,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
PSDI00147E,,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,1,1,1,1,1,1,22,62.04,-1.03,4.0,2.0,2.0,1.0,0.0,0.0,0.0,40.46,0.41
PSDI001480,,"InChI=1S/C6H10O4/c1-5(7)9-3-4-10-6(2)8/h3-4H2,1-2H3",JTXMVXSTHSMVQF-UHFFFAOYSA-N,CC(=O)OCCOC(C)=O,3,1,1,1,0,2,2,146.06,0.11,10.0,4.0,0.0,3.0,0.0,0.0,0.0,52.6,0.42
PSDI001506,,InChI=1S/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,GVEPBJHOBDJJJI-UHFFFAOYSA-N,c1ccc2c(c1)-c1cccc3cccc-2c13,1,1,1,1,1,4,321,202.08,4.49,16.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.39
PSDI001544,,"InChI=1S/C6H12O2/c1-2-3-4-5-8-6-7/h6H,2-5H2,1H3",DIQMPQMYFZXDAX-UHFFFAOYSA-N,CCCCCOC=O,1,1,1,1,0,1,10,116.08,1.35,8.0,2.0,0.0,5.0,0.0,0.0,0.0,26.3,0.4
PSDI0015C2,,"InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H",BCQZXOMGPXTTIC-UHFFFAOYSA-N,FC(F)(F)C(Cl)Br,1,2,1,1,1,3,7,195.89,2.51,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
PSDI0015E1,,"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)",KEMQGTRYUADPNZ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC(=O)O,2,1,1,1,0,1,97,270.26,5.94,19.0,1.0,1.0,15.0,0.0,0.0,0.0,37.3,0.37
PSDI001603,,InChI=1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9,CKAPSXZOOQJIBF-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,1,1,1,1,2,1,281.81,5.61,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.43
PSDI001606,,"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8",VHHHONWQHHHLTI-UHFFFAOYSA-N,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1,1,1,0,1,4,6,233.81,3.73,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56
PSDI0016B2,,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",SIKJAQJRHWYJAI-UHFFFAOYSA-N,c1ccc2[nH]ccc2c1,1,1,1,1,0,3,11,117.06,2.17,9.0,0.0,1.0,0.0,2.0,1.0,2.0,15.79,0.54
PSDI0016CB,,"InChI=1S/C2H5I/c1-2-3/h2H2,1H3",HVTICUPFWKNHNG-UHFFFAOYSA-N,CCI,1,1,1,1,1,2,7,155.94,1.44,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
PSDI0016DE,,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3",GJRQTCIYDGXPES-UHFFFAOYSA-N,CC(=O)OCC(C)C,2,1,1,1,1,4,13,116.08,1.21,8.0,2.0,0.0,2.0,0.0,0.0,0.0,26.3,0.51
PSDI0016E0,,"InChI=1S/C6H12O2/c1-6(2)3-4-8-5-7/h5-6H,3-4H2,1-2H3",XKYICAQFSCFURC-UHFFFAOYSA-N,CC(C)CCOC=O,1,1,1,1,0,3,7,116.08,1.21,8.0,2.0,0.0,4.0,0.0,0.0,0.0,26.3,0.41
PSDI0016E4,,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,1,1,1,1,1,3,27,74.07,0.63,5.0,1.0,1.0,1.0,0.0,0.0,0.0,20.23,0.48
PSDI0016E7,,"InChI=1S/C5H10O2/c1-5(2)3-7-4-6/h4-5H,3H2,1-2H3",AVMSWPWPYJVYKY-UHFFFAOYSA-N,CC(C)COC=O,1,1,1,1,0,3,7,102.07,0.82,7.0,2.0,0.0,3.0,0.0,0.0,0.0,26.3,0.49
PSDI001706,,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",PHTQWCKDNZKARW-UHFFFAOYSA-N,CC(C)CCO,1,1,1,1,1,3,7,88.09,1.02,6.0,1.0,1.0,2.0,0.0,0.0,0.0,20.23,0.53
PSDI00170F,,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,1,1,1,1,1,3,312,60.06,0.39,4.0,1.0,1.0,0.0,0.0,0.0,0.0,20.23,0.43
