PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI000D99,,"InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-6,8,11H,7H2,1-2H3",OIGWAXDAPKFNCQ-UHFFFAOYSA-N,CC(C)c1ccc(CO)cc1,1,1,1,1,0,0,0,150.1,2.3,11.0,1.0,1.0,2.0,1.0,0.0,1.0,20.23,0.69
PSDI000D9C,,"InChI=1S/C7H7FO/c8-7-3-1-6(5-9)2-4-7/h1-4,9H,5H2",GEZMEIHVFSWOCA-UHFFFAOYSA-N,OCc1ccc(F)cc1,1,1,1,1,0,0,0,126.05,1.32,9.0,1.0,1.0,1.0,1.0,0.0,1.0,20.23,0.6
PSDI000D9D,,"InChI=1S/C10H12O3/c1-8(11)13-7-9-3-5-10(12-2)6-4-9/h3-6H,7H2,1-2H3",HFNGYHHRRMSKEU-UHFFFAOYSA-N,COc1ccc(COC(C)=O)cc1,2,1,1,1,0,1,0,180.08,1.76,13.0,3.0,0.0,3.0,1.0,0.0,1.0,35.53,0.66
PSDI000D9F,,"InChI=1S/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,8H,4,7H2",YGCZTXZTJXYWCO-UHFFFAOYSA-N,O=CCCc1ccccc1,2,1,1,1,0,0,0,134.07,1.82,10.0,1.0,0.0,3.0,1.0,0.0,1.0,17.07,0.58
PSDI000DA5,,"InChI=1S/C15H16O/c16-12-11-15(13-7-3-1-4-8-13)14-9-5-2-6-10-14/h1-10,15-16H,11-12H2",IDCXQMVSIIJUEH-UHFFFAOYSA-N,OCCC(c1ccccc1)c1ccccc1,1,1,1,1,0,0,0,212.12,3.2,16.0,1.0,1.0,4.0,2.0,0.0,2.0,20.23,0.82
PSDI000DA6,,"InChI=1S/C9H9ClO/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2",MFEILWXBDBCWKF-UHFFFAOYSA-N,O=C(Cl)CCc1ccccc1,2,1,1,1,0,0,0,168.03,2.38,11.0,1.0,0.0,3.0,1.0,0.0,1.0,17.07,0.63
PSDI000DB5,,"InChI=1S/C8H10O3S/c1-7-3-5-8(6-4-7)12(9,10)11-2/h3-6H,1-2H3",VUQUOGPMUUJORT-UHFFFAOYSA-N,COS(=O)(=O)c1ccc(C)cc1,1,1,1,1,0,0,0,186.04,1.33,12.0,3.0,0.0,2.0,1.0,0.0,1.0,43.37,0.65
PSDI000DB6,,"InChI=1S/C6H5ClO2S/c7-10(8,9)6-4-2-1-3-5-6/h1-5H",CSKNSYBAZOQPLR-UHFFFAOYSA-N,O=S(=O)(Cl)c1ccccc1,1,1,1,1,0,1,0,175.97,1.61,10.0,2.0,0.0,1.0,1.0,0.0,1.0,34.14,0.61
PSDI000DBE,,"InChI=1S/C6H5BrS/c7-5-1-3-6(8)4-2-5/h1-4,8H",FTBCOQFMQSTCQQ-UHFFFAOYSA-N,Sc1ccc(Br)cc1,2,1,1,1,0,0,0,187.93,2.74,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6
PSDI000DBF,,"InChI=1S/C13H12O/c14-13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10,13-14H",QILSFLSDHQAZET-UHFFFAOYSA-N,OC(c1ccccc1)c1ccccc1,1,1,1,1,0,2,0,184.09,2.77,14.0,1.0,1.0,2.0,2.0,0.0,2.0,20.23,0.76
PSDI000DC0,,"InChI=1S/C13H13N/c14-13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10,13H,14H2",MGHPNCMVUAKAIE-UHFFFAOYSA-N,NC(c1ccccc1)c1ccccc1,1,1,1,1,0,0,0,183.1,2.73,14.0,1.0,1.0,2.0,2.0,0.0,2.0,26.02,0.76
PSDI000DC1,,"InChI=1S/C12H12N2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,13-14H2",HFACYLZERDEVSX-UHFFFAOYSA-N,Nc1ccc(-c2ccc(N)cc2)cc1,1,1,1,1,0,4,0,184.1,2.52,14.0,2.0,2.0,1.0,2.0,0.0,2.0,52.04,0.67
PSDI000DC2,,InChI=1S/C14H10O2/c15-13(11-7-3-1-4-8-11)14(16)12-9-5-2-6-10-12/h1-10H,WURBFLDFSFBTLW-UHFFFAOYSA-N,O=C(C(=O)c1ccccc1)c1ccccc1,1,1,1,1,0,1,0,210.07,2.75,16.0,2.0,0.0,3.0,2.0,0.0,2.0,34.14,0.58
PSDI000DC6,,"InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,(H,8,9)",HYZJCKYKOHLVJF-UHFFFAOYSA-N,c1ccc2[nH]cnc2c1,1,1,1,1,0,3,0,118.05,1.56,9.0,1.0,1.0,0.0,2.0,1.0,2.0,28.68,0.56
PSDI000DC8,,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H,FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,1,1,1,1,3,1,252.09,5.74,20.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.24
PSDI000DCB,,InChI=1S/C8H6S/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,FCEHBMOGCRZNNI-UHFFFAOYSA-N,c1ccc2sccc2c1,1,1,2,2,0,1,0,134.02,2.9,9.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.52
PSDI000DCD,,InChI=1S/C20H12/c1-2-8-16-15(7-1)17-9-3-5-13-11-12-14-6-4-10-18(16)20(14)19(13)17/h1-12H,TXVHTIQJNYSSKO-UHFFFAOYSA-N,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,1,1,1,1,0,5,0,252.09,5.74,20.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.24
PSDI000DCE,,InChI=1S/C13H9N/c1-2-5-11-10(4-1)7-8-13-12(11)6-3-9-14-13/h1-9H,HCAUQPZEWLULFJ-UHFFFAOYSA-N,c1ccc2c(c1)ccc1ncccc12,1,1,1,1,0,1,0,179.07,3.39,14.0,1.0,0.0,0.0,3.0,1.0,3.0,12.89,0.48
PSDI000DCF,,InChI=1S/C22H12/c1-3-13-7-9-15-11-12-16-10-8-14-4-2-6-18-17(5-1)19(13)21(15)22(16)20(14)18/h1-12H,GYFAGKUZYNFMBN-UHFFFAOYSA-N,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,1,1,1,1,1,3,6,276.09,6.33,22.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.22
PSDI000DD0,,InChI=1S/C13H9N/c1-2-6-12-10(4-1)7-8-11-5-3-9-14-13(11)12/h1-9H,WZJYKHNJTSNBHV-UHFFFAOYSA-N,c1ccc2c(c1)ccc1cccnc12,1,1,1,1,0,0,0,179.07,3.39,14.0,1.0,0.0,0.0,3.0,1.0,3.0,12.89,0.48
PSDI000DD2,,InChI=1S/C20H12/c1-2-6-15-12-19-17-10-4-8-13-7-3-9-16(20(13)17)18(19)11-14(15)5-1/h1-12H,HAXBIWFMXWRORI-UHFFFAOYSA-N,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,1,1,1,1,1,3,0,252.09,5.64,20.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.33
PSDI000DD8,,"InChI=1S/C9H8O/c1-7-3-2-4-8-5-6-10-9(7)8/h2-6H,1H3",PHQXPPBIJBCIMI-UHFFFAOYSA-N,Cc1cccc2ccoc12,1,1,1,1,0,0,0,132.06,2.74,10.0,1.0,0.0,0.0,2.0,1.0,2.0,13.14,0.54
PSDI000DDC,,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,O=C(O)c1ccccc1,1,1,2,1,1,3,0,122.04,1.38,9.0,1.0,1.0,1.0,1.0,0.0,1.0,37.3,0.61
PSDI000DDD,,"InChI=1S/C13H12N2O/c16-13(11-7-3-1-4-8-11)15-14-12-9-5-2-6-10-12/h1-10,14H,(H,15,16)",CKLPECFHCLIYKN-UHFFFAOYSA-N,OC(=NNc1ccccc1)c1ccccc1,2,2,1,1,0,0,0,212.09,3.02,16.0,2.0,2.0,3.0,2.0,0.0,2.0,44.62,0.47
PSDI000DE4,,"InChI=1S/C10H12O5/c1-13-7-5-9(15-3)8(14-2)4-6(7)10(11)12/h4-5H,1-3H3,(H,11,12)",KVZUCOGWKYOPID-UHFFFAOYSA-N,COc1cc(OC)c(C(=O)O)cc1OC,1,1,1,1,0,0,0,212.07,1.41,15.0,4.0,1.0,4.0,1.0,0.0,1.0,64.99,0.82
PSDI000DE7,,"InChI=1S/C9H10O2/c1-6-3-4-8(9(10)11)7(2)5-6/h3-5H,1-2H3,(H,10,11)",BKYWPNROPGQIFZ-UHFFFAOYSA-N,Cc1ccc(C(=O)O)c(C)c1,3,1,1,1,0,1,0,150.07,2.0,11.0,1.0,1.0,1.0,1.0,0.0,1.0,37.3,0.66
PSDI000DE8,,"InChI=1S/C10H12O2/c1-7-4-5-9(8(2)6-7)10(11)12-3/h4-6H,1-3H3",QQCLNRPRQRDMCK-UHFFFAOYSA-N,COC(=O)c1ccc(C)cc1C,3,1,1,1,0,0,0,164.08,2.09,12.0,2.0,0.0,1.0,1.0,0.0,1.0,26.3,0.59
PSDI000DF2,,"InChI=1S/C9H11NO2/c1-10-8-6-4-3-5-7(8)9(11)12-2/h3-6,10H,1-2H3",GVOWHGSUZUUUDR-UHFFFAOYSA-N,CNc1ccccc1C(=O)OC,4,1,1,1,0,0,0,165.08,1.51,12.0,3.0,1.0,2.0,1.0,0.0,1.0,38.33,0.67
PSDI000DF5,,"InChI=1S/C15H12O3/c1-18-15(17)13-10-6-5-9-12(13)14(16)11-7-3-2-4-8-11/h2-10H,1H3",NQSMEZJWJJVYOI-UHFFFAOYSA-N,COC(=O)c1ccccc1C(=O)c1ccccc1,1,1,1,1,0,1,0,240.08,2.7,18.0,3.0,0.0,3.0,2.0,0.0,2.0,43.37,0.61
PSDI000DFB,,"InChI=1S/C11H14O3/c1-8(2)7-14-11(13)9-5-3-4-6-10(9)12/h3-6,8,12H,7H2,1-2H3",PTXDBYSCVQQBNF-UHFFFAOYSA-N,CC(C)COC(=O)c1ccccc1O,4,1,1,1,0,0,0,194.09,2.21,14.0,3.0,1.0,3.0,1.0,0.0,1.0,46.53,0.75
